Empresa,Precio,Volumen,Cambio_Valor,Cambio_Porcentaje,fecha,hora
Boeing Company The,143.84,"661,073",-7.07,4.68,2025-04-04,21:58:18
Cisco Systems Inc,57.38,"209,817",0.07,0.12,2025-04-04,21:58:18
Goldman Sachs Group Inc The,488.0,"91,510",-23.23,4.54,2025-04-04,21:58:18
International Business Machines Corp,240.23,"49,703",-3.26,1.34,2025-04-04,21:58:18
Intel Corporation,21.4,"10,341,685",-1.03,4.59,2025-04-04,21:58:18
JPMorgan Chase & Co,217.6,"239,074",-9.69,4.26,2025-04-04,21:58:18
McDonald's Corp,309.9,"62,569",-8.37,2.63,2025-04-04,21:58:18
Salesforcecom Inc,244.59,"120,561",-10.64,4.17,2025-04-04,21:58:18
Verizon Communications Inc,44.72,"271,719",-0.9,1.97,2025-04-04,21:58:18
Visa Inc,328.83,"90,315",-10.56,3.11,2025-04-04,21:58:18
Walmart Inc,84.76,"380,042",-2.5,2.87,2025-04-04,21:58:18
Walt Disney Company The,86.2,"246,116",-2.64,2.97,2025-04-04,21:58:18
Nike Inc,55.48,"834,577",-1.77,3.09,2025-04-07,15:32:01
Coca-Cola Company The,67.05,"482,792",-2.88,4.12,2025-04-07,15:32:01
Microsoft Corporation,353.81,"1,179,576",-6.03,1.68,2025-04-07,15:32:01
American Express Co,226.03,"33,895",-7.65,3.27,2025-04-07,15:32:01
Amgen Inc,292.6,"18,061",-1.79,0.61,2025-04-07,15:32:01
Apple Inc,182.87,"4,630,027",-5.51,2.92,2025-04-07,15:32:01
Boeing Company The,132.52,"358,790",-4.07,2.98,2025-04-07,15:32:01
Cisco Systems Inc,53.49,"150,341",-1.05,1.93,2025-04-07,15:32:01
Goldman Sachs Group Inc The,452.0,"60,248",-18.81,4.0,2025-04-07,15:32:01
International Business Machines Corp,220.05,"72,924",-7.43,3.27,2025-04-07,15:32:01
Intel Corporation,19.25,"5,482,846",-0.6,3.02,2025-04-07,15:32:01
JPMorgan Chase & Co,202.46,"279,514",-7.82,3.72,2025-04-07,15:32:01
McDonald's Corp,293.59,"46,422",-6.52,2.17,2025-04-07,15:32:01
Salesforcecom Inc,232.93,"91,054",-7.83,3.25,2025-04-07,15:32:01
Verizon Communications Inc,41.24,"542,028",-1.79,4.16,2025-04-07,15:32:01
Visa Inc,302.0,"103,500",-11.13,3.55,2025-04-07,15:32:01
Walmart Inc,80.54,"548,812",-2.65,3.19,2025-04-07,15:32:01
Walt Disney Company The,81.36,"174,127",-2.17,2.6,2025-04-07,15:32:01
Nike Inc,55.48,"834,577",-1.77,3.09,2025-04-07,17:58:19
Coca-Cola Company The,67.05,"482,792",-2.88,4.12,2025-04-07,17:58:19
Microsoft Corporation,353.81,"1,179,576",-6.03,1.68,2025-04-07,17:58:19
American Express Co,226.03,"33,895",-7.65,3.27,2025-04-07,17:58:19
Amgen Inc,292.6,"18,061",-1.79,0.61,2025-04-07,17:58:19
Apple Inc,182.87,"4,630,027",-5.51,2.92,2025-04-07,17:58:19
Boeing Company The,132.52,"358,790",-4.07,2.98,2025-04-07,17:58:19
Cisco Systems Inc,53.49,"150,341",-1.05,1.93,2025-04-07,17:58:19
Goldman Sachs Group Inc The,452.0,"60,248",-18.81,4.0,2025-04-07,17:58:19
International Business Machines Corp,220.05,"72,924",-7.43,3.27,2025-04-07,17:58:19
Intel Corporation,19.25,"5,482,846",-0.6,3.02,2025-04-07,17:58:19
JPMorgan Chase & Co,202.46,"279,514",-7.82,3.72,2025-04-07,17:58:19
McDonald's Corp,293.59,"46,422",-6.52,2.17,2025-04-07,17:58:19
Salesforcecom Inc,232.93,"91,054",-7.83,3.25,2025-04-07,17:58:19
Verizon Communications Inc,41.24,"542,028",-1.79,4.16,2025-04-07,17:58:19
Visa Inc,302.0,"103,500",-11.13,3.55,2025-04-07,17:58:19
Walmart Inc,80.54,"548,812",-2.65,3.19,2025-04-07,17:58:19
Walt Disney Company The,81.36,"174,127",-2.17,2.6,2025-04-07,17:58:19
Nike Inc,55.48,"834,577",-1.77,3.09,2025-04-07,21:29:21
Coca-Cola Company The,67.05,"482,792",-2.88,4.12,2025-04-07,21:29:21
Microsoft Corporation,353.81,"1,179,576",-6.03,1.68,2025-04-07,21:29:21
American Express Co,226.03,"33,895",-7.65,3.27,2025-04-07,21:29:21
Amgen Inc,292.6,"18,061",-1.79,0.61,2025-04-07,21:29:21
Apple Inc,182.87,"4,630,027",-5.51,2.92,2025-04-07,21:29:21
Boeing Company The,132.52,"358,790",-4.07,2.98,2025-04-07,21:29:21
Cisco Systems Inc,53.49,"150,341",-1.05,1.93,2025-04-07,21:29:21
Goldman Sachs Group Inc The,452.0,"60,248",-18.81,4.0,2025-04-07,21:29:21
International Business Machines Corp,220.05,"72,924",-7.43,3.27,2025-04-07,21:29:21
Intel Corporation,19.25,"5,482,846",-0.6,3.02,2025-04-07,21:29:21
JPMorgan Chase & Co,202.46,"279,514",-7.82,3.72,2025-04-07,21:29:21
McDonald's Corp,293.59,"46,422",-6.52,2.17,2025-04-07,21:29:21
Salesforcecom Inc,232.93,"91,054",-7.83,3.25,2025-04-07,21:29:21
Verizon Communications Inc,41.24,"542,028",-1.79,4.16,2025-04-07,21:29:21
Visa Inc,302.0,"103,500",-11.13,3.55,2025-04-07,21:29:21
Walmart Inc,80.54,"548,812",-2.65,3.19,2025-04-07,21:29:21
Walt Disney Company The,81.36,"174,127",-2.17,2.6,2025-04-07,21:29:21
Nike Inc,55.48,"834,577",-1.77,3.09,2025-04-07,21:58:17
Coca-Cola Company The,67.05,"482,792",-2.88,4.12,2025-04-07,21:58:17
Microsoft Corporation,353.81,"1,179,576",-6.03,1.68,2025-04-07,21:58:17
American Express Co,226.03,"33,895",-7.65,3.27,2025-04-07,21:58:17
Amgen Inc,292.6,"18,061",-1.79,0.61,2025-04-07,21:58:17
Apple Inc,182.87,"4,630,027",-5.51,2.92,2025-04-07,21:58:17
Boeing Company The,132.52,"358,790",-4.07,2.98,2025-04-07,21:58:17
Cisco Systems Inc,53.49,"150,341",-1.05,1.93,2025-04-07,21:58:17
Goldman Sachs Group Inc The,452.0,"60,248",-18.81,4.0,2025-04-07,21:58:17
International Business Machines Corp,220.05,"72,924",-7.43,3.27,2025-04-07,21:58:17
Intel Corporation,19.25,"5,482,846",-0.6,3.02,2025-04-07,21:58:17
JPMorgan Chase & Co,202.46,"279,514",-7.82,3.72,2025-04-07,21:58:17
McDonald's Corp,293.59,"46,422",-6.52,2.17,2025-04-07,21:58:17
Salesforcecom Inc,232.93,"91,054",-7.83,3.25,2025-04-07,21:58:17
Verizon Communications Inc,41.24,"542,028",-1.79,4.16,2025-04-07,21:58:17
Visa Inc,302.0,"103,500",-11.13,3.55,2025-04-07,21:58:17
Walmart Inc,80.54,"548,812",-2.65,3.19,2025-04-07,21:58:17
Walt Disney Company The,81.36,"174,127",-2.17,2.6,2025-04-07,21:58:17
Nike Inc,58.41,"765,149",2.8,5.04,2025-04-08,15:31:18
Coca-Cola Company The,68.69,"90,595",0.32,0.47,2025-04-08,15:31:18
Microsoft Corporation,368.76,"839,978",10.9,3.05,2025-04-08,15:31:18
American Express Co,245.12,"23,492",10.84,4.63,2025-04-08,15:31:18
Amgen Inc,289.2,"7,890",-0.49,0.17,2025-04-08,15:31:18
Apple Inc,187.02,"1,938,297",5.56,3.06,2025-04-08,15:31:18
Boeing Company The,146.9,"294,453",8.04,5.79,2025-04-08,15:31:18
Cisco Systems Inc,54.85,"78,464",0.44,0.81,2025-04-08,15:31:18
Goldman Sachs Group Inc The,488.29,"40,061",22.78,4.89,2025-04-08,15:31:18
International Business Machines Corp,231.03,"18,773",5.25,2.33,2025-04-08,15:31:18
Intel Corporation,20.22,"2,800,687",0.65,3.32,2025-04-08,15:31:18
JPMorgan Chase & Co,222.54,"148,141",8.1,3.78,2025-04-08,15:31:18
McDonald's Corp,302.11,"8,292",2.22,0.74,2025-04-08,15:31:18
Salesforcecom Inc,253.48,"25,686",9.27,3.8,2025-04-08,15:31:18
Verizon Communications Inc,42.96,"136,975",0.38,0.89,2025-04-08,15:31:18
Visa Inc,320.46,"90,650",8.14,2.61,2025-04-08,15:31:18
Walmart Inc,86.04,"175,328",2.21,2.64,2025-04-08,15:31:18
Walt Disney Company The,85.7,"461,330",2.4,2.88,2025-04-08,15:31:18
Nike Inc,58.41,"765,149",2.8,5.04,2025-04-08,17:58:19
Coca-Cola Company The,68.69,"90,595",0.32,0.47,2025-04-08,17:58:19
Microsoft Corporation,368.76,"839,978",10.9,3.05,2025-04-08,17:58:19
American Express Co,245.12,"23,492",10.84,4.63,2025-04-08,17:58:19
Amgen Inc,289.2,"7,890",-0.49,0.17,2025-04-08,17:58:19
Apple Inc,187.02,"1,938,297",5.56,3.06,2025-04-08,17:58:19
Boeing Company The,146.9,"294,453",8.04,5.79,2025-04-08,17:58:19
Cisco Systems Inc,54.85,"78,464",0.44,0.81,2025-04-08,17:58:19
Goldman Sachs Group Inc The,488.29,"40,061",22.78,4.89,2025-04-08,17:58:19
International Business Machines Corp,231.03,"18,773",5.25,2.33,2025-04-08,17:58:19
Intel Corporation,20.22,"2,800,687",0.65,3.32,2025-04-08,17:58:19
JPMorgan Chase & Co,222.54,"148,141",8.1,3.78,2025-04-08,17:58:19
McDonald's Corp,302.11,"8,292",2.22,0.74,2025-04-08,17:58:19
Salesforcecom Inc,253.48,"25,686",9.27,3.8,2025-04-08,17:58:19
Verizon Communications Inc,42.96,"136,975",0.38,0.89,2025-04-08,17:58:19
Visa Inc,320.46,"90,650",8.14,2.61,2025-04-08,17:58:19
Walmart Inc,86.04,"175,328",2.21,2.64,2025-04-08,17:58:19
Walt Disney Company The,85.7,"461,330",2.4,2.88,2025-04-08,17:58:19
Nike Inc,58.41,"765,149",2.8,5.04,2025-04-08,21:28:21
Coca-Cola Company The,68.69,"90,595",0.32,0.47,2025-04-08,21:28:21
Microsoft Corporation,368.76,"839,978",10.9,3.05,2025-04-08,21:28:21
American Express Co,245.12,"23,492",10.84,4.63,2025-04-08,21:28:21
Amgen Inc,289.2,"7,890",-0.49,0.17,2025-04-08,21:28:21
Apple Inc,187.02,"1,938,297",5.56,3.06,2025-04-08,21:28:21
Boeing Company The,146.9,"294,453",8.04,5.79,2025-04-08,21:28:21
Cisco Systems Inc,54.85,"78,464",0.44,0.81,2025-04-08,21:28:21
Goldman Sachs Group Inc The,488.29,"40,061",22.78,4.89,2025-04-08,21:28:21
International Business Machines Corp,231.03,"18,773",5.25,2.33,2025-04-08,21:28:21
Intel Corporation,20.22,"2,800,687",0.65,3.32,2025-04-08,21:28:21
JPMorgan Chase & Co,222.54,"148,141",8.1,3.78,2025-04-08,21:28:21
McDonald's Corp,302.11,"8,292",2.22,0.74,2025-04-08,21:28:21
Salesforcecom Inc,253.48,"25,686",9.27,3.8,2025-04-08,21:28:21
Verizon Communications Inc,42.96,"136,975",0.38,0.89,2025-04-08,21:28:21
Visa Inc,320.46,"90,650",8.14,2.61,2025-04-08,21:28:21
Walmart Inc,86.04,"175,328",2.21,2.64,2025-04-08,21:28:21
Walt Disney Company The,85.7,"461,330",2.4,2.88,2025-04-08,21:28:21
Nike Inc,58.41,"765,149",2.8,5.04,2025-04-08,21:58:15
Coca-Cola Company The,68.69,"90,595",0.32,0.47,2025-04-08,21:58:15
Microsoft Corporation,368.76,"839,978",10.9,3.05,2025-04-08,21:58:15
American Express Co,245.12,"23,492",10.84,4.63,2025-04-08,21:58:15
Amgen Inc,289.2,"7,890",-0.49,0.17,2025-04-08,21:58:15
Apple Inc,187.02,"1,938,297",5.56,3.06,2025-04-08,21:58:15
Boeing Company The,146.9,"294,453",8.04,5.79,2025-04-08,21:58:15
Cisco Systems Inc,54.85,"78,464",0.44,0.81,2025-04-08,21:58:15
Goldman Sachs Group Inc The,488.29,"40,061",22.78,4.89,2025-04-08,21:58:15
International Business Machines Corp,231.03,"18,773",5.25,2.33,2025-04-08,21:58:15
Intel Corporation,20.22,"2,800,687",0.65,3.32,2025-04-08,21:58:15
JPMorgan Chase & Co,222.54,"148,141",8.1,3.78,2025-04-08,21:58:15
McDonald's Corp,302.11,"8,292",2.22,0.74,2025-04-08,21:58:15
Salesforcecom Inc,253.48,"25,686",9.27,3.8,2025-04-08,21:58:15
Verizon Communications Inc,42.96,"136,975",0.38,0.89,2025-04-08,21:58:15
Visa Inc,320.46,"90,650",8.14,2.61,2025-04-08,21:58:15
Walmart Inc,86.04,"175,328",2.21,2.64,2025-04-08,21:58:15
Walt Disney Company The,85.7,"461,330",2.4,2.88,2025-04-08,21:58:15
Nike Inc,53.3,"650,803",0.03,0.06,2025-04-09,15:31:19
Coca-Cola Company The,67.92,"74,757",-0.5,0.73,2025-04-09,15:31:19
Microsoft Corporation,354.26,"523,299",-0.3,0.08,2025-04-09,15:31:19
American Express Co,229.04,"20,634",-2.35,1.02,2025-04-09,15:31:19
Amgen Inc,267.6,"16,927",-12.66,4.52,2025-04-09,15:31:19
Apple Inc,173.2,"5,305,402",0.78,0.45,2025-04-09,15:31:19
Boeing Company The,138.5,"194,890",-0.89,0.64,2025-04-09,15:31:19
Cisco Systems Inc,52.98,"134,976",-0.21,0.39,2025-04-09,15:31:19
Goldman Sachs Group Inc The,455.23,"42,276",-6.99,1.51,2025-04-09,15:31:19
International Business Machines Corp,220.0,"27,915",-1.03,0.47,2025-04-09,15:31:19
Intel Corporation,18.06,"5,297,999",-0.07,0.39,2025-04-09,15:31:19
JPMorgan Chase & Co,215.25,"130,456",-1.62,0.75,2025-04-09,15:31:19
McDonald's Corp,297.9,"10,499",-1.93,0.64,2025-04-09,15:31:19
Salesforcecom Inc,243.07,"35,995",-0.92,0.38,2025-04-09,15:31:19
Verizon Communications Inc,41.57,"283,957",-0.6,1.42,2025-04-09,15:31:19
Visa Inc,306.4,"28,349",-1.87,0.61,2025-04-09,15:31:19
Walmart Inc,81.45,"666,946",-0.34,0.42,2025-04-09,15:31:19
Walt Disney Company The,81.11,"87,991",-0.61,0.75,2025-04-09,15:31:19
Nike Inc,53.3,"650,803",0.03,0.06,2025-04-09,17:58:23
Coca-Cola Company The,67.92,"74,757",-0.5,0.73,2025-04-09,17:58:23
Microsoft Corporation,354.26,"523,299",-0.3,0.08,2025-04-09,17:58:23
American Express Co,229.04,"20,634",-2.35,1.02,2025-04-09,17:58:23
Amgen Inc,267.6,"16,927",-12.66,4.52,2025-04-09,17:58:23
Apple Inc,173.2,"5,305,402",0.78,0.45,2025-04-09,17:58:23
Boeing Company The,138.5,"194,890",-0.89,0.64,2025-04-09,17:58:23
Cisco Systems Inc,52.98,"134,976",-0.21,0.39,2025-04-09,17:58:23
Goldman Sachs Group Inc The,455.23,"42,276",-6.99,1.51,2025-04-09,17:58:23
International Business Machines Corp,220.0,"27,915",-1.03,0.47,2025-04-09,17:58:23
Intel Corporation,18.06,"5,297,999",-0.07,0.39,2025-04-09,17:58:23
JPMorgan Chase & Co,215.25,"130,456",-1.62,0.75,2025-04-09,17:58:23
McDonald's Corp,297.9,"10,499",-1.93,0.64,2025-04-09,17:58:23
Salesforcecom Inc,243.07,"35,995",-0.92,0.38,2025-04-09,17:58:23
Verizon Communications Inc,41.57,"283,957",-0.6,1.42,2025-04-09,17:58:23
Visa Inc,306.4,"28,349",-1.87,0.61,2025-04-09,17:58:23
Walmart Inc,81.45,"666,946",-0.34,0.42,2025-04-09,17:58:23
Walt Disney Company The,81.11,"87,991",-0.61,0.75,2025-04-09,17:58:23
Nike Inc,53.3,"650,803",0.03,0.06,2025-04-09,21:29:17
Coca-Cola Company The,67.92,"74,757",-0.5,0.73,2025-04-09,21:29:17
Microsoft Corporation,354.26,"523,299",-0.3,0.08,2025-04-09,21:29:17
American Express Co,229.04,"20,634",-2.35,1.02,2025-04-09,21:29:17
Amgen Inc,267.6,"16,927",-12.66,4.52,2025-04-09,21:29:17
Apple Inc,173.2,"5,305,402",0.78,0.45,2025-04-09,21:29:17
Boeing Company The,138.5,"194,890",-0.89,0.64,2025-04-09,21:29:17
Cisco Systems Inc,52.98,"134,976",-0.21,0.39,2025-04-09,21:29:17
Goldman Sachs Group Inc The,455.23,"42,276",-6.99,1.51,2025-04-09,21:29:17
International Business Machines Corp,220.0,"27,915",-1.03,0.47,2025-04-09,21:29:17
Intel Corporation,18.06,"5,297,999",-0.07,0.39,2025-04-09,21:29:17
JPMorgan Chase & Co,215.25,"130,456",-1.62,0.75,2025-04-09,21:29:17
McDonald's Corp,297.9,"10,499",-1.93,0.64,2025-04-09,21:29:17
Salesforcecom Inc,243.07,"35,995",-0.92,0.38,2025-04-09,21:29:17
Verizon Communications Inc,41.57,"283,957",-0.6,1.42,2025-04-09,21:29:17
Visa Inc,306.4,"28,349",-1.87,0.61,2025-04-09,21:29:17
Walmart Inc,81.45,"666,946",-0.34,0.42,2025-04-09,21:29:17
Walt Disney Company The,81.11,"87,991",-0.61,0.75,2025-04-09,21:29:17
Nike Inc,53.3,"650,803",0.03,0.06,2025-04-09,21:58:20
Coca-Cola Company The,67.92,"74,757",-0.5,0.73,2025-04-09,21:58:20
Microsoft Corporation,354.26,"523,299",-0.3,0.08,2025-04-09,21:58:20
American Express Co,229.04,"20,634",-2.35,1.02,2025-04-09,21:58:20
Amgen Inc,267.6,"16,927",-12.66,4.52,2025-04-09,21:58:20
Apple Inc,173.2,"5,305,402",0.78,0.45,2025-04-09,21:58:20
Boeing Company The,138.5,"194,890",-0.89,0.64,2025-04-09,21:58:20
Cisco Systems Inc,52.98,"134,976",-0.21,0.39,2025-04-09,21:58:20
Goldman Sachs Group Inc The,455.23,"42,276",-6.99,1.51,2025-04-09,21:58:20
International Business Machines Corp,220.0,"27,915",-1.03,0.47,2025-04-09,21:58:20
Intel Corporation,18.06,"5,297,999",-0.07,0.39,2025-04-09,21:58:20
JPMorgan Chase & Co,215.25,"130,456",-1.62,0.75,2025-04-09,21:58:20
McDonald's Corp,297.9,"10,499",-1.93,0.64,2025-04-09,21:58:20
Salesforcecom Inc,243.07,"35,995",-0.92,0.38,2025-04-09,21:58:20
Verizon Communications Inc,41.57,"283,957",-0.6,1.42,2025-04-09,21:58:20
Visa Inc,306.4,"28,349",-1.87,0.61,2025-04-09,21:58:20
Walmart Inc,81.45,"666,946",-0.34,0.42,2025-04-09,21:58:20
Walt Disney Company The,81.11,"87,991",-0.61,0.75,2025-04-09,21:58:20
